,Coefficients importance
ST343Q10JA,0.14407905984642724
ST311Q01JA,0.2323052762245191
ST311Q02JA,-0.05555527508571547
ST311Q03JA,0.0
ST311Q04JA,-0.018922818397559705
ST311Q05JA,-0.0
ST311Q06JA,0.3602157772911712
ST311Q07JA,0.13946283793069172
ST311Q08JA,-0.0
ST311Q09JA,0.12489514156433533
ST311Q10JA,0.3436101033485659
ST315Q01JA,-0.4229362645845779
ST315Q02JA,-0.24869235731405703
ST315Q03JA,0.09992826234227588
ST315Q04JA,0.024083218604151344
ST315Q05JA,-0.0
ST315Q06JA,-0.8640504548657048
ST315Q07JA,0.0
ST315Q08JA,0.0
ST315Q09JA,-0.07550794842418665
ST315Q10JA,-0.35954054383643314
ST303Q01JA,-0.37742556875753275
ST303Q02JA,-0.35407967294522474
ST303Q03JA,-0.3166707179624156
ST303Q04JA,-0.0328152614096321
ST303Q05JA,1.1698331243255093
ST303Q06JA,-0.7297093585183945
ST303Q07JA,0.13359560072630008
ST303Q08JA,-0.4255672427327817
ST305Q01JA,-0.001673859934328129
ST305Q02JA,-0.4759430873312401
ST305Q03JA,-0.38233420611161006
ST305Q04JA,0.43029143645500206
ST305Q05JA,-0.2531998361833515
ST305Q06JA,-0.00984983100920231
ST305Q07JA,0.0
ST305Q08JA,-0.1653378131767382
ST305Q09JA,0.08773309586026581
ST305Q10JA,-0.0
ST345Q01JA,-0.48936137727667917
ST345Q02JA,0.0
ST345Q03JA,-0.27143056015896283
ST345Q04JA,-0.398698645667552
ST345Q05JA,-0.8066446716683977
ST345Q06JA,-0.20741166414185
ST345Q07JA,-0.19170973439518668
ST345Q08JA,-0.2913857774983342
ST345Q09JA,-0.08922940658133964
ST345Q10JA,-0.549158246131655
ST313Q01JA,0.0
ST313Q02JA,0.1836050054372275
ST313Q03JA,-0.0
ST313Q04JA,0.0
ST313Q05JA,0.29079412975744007
ST313Q06JA,-0.10210925948313711
ST313Q07JA,0.20012641141006482
ST313Q08JA,-0.0
ST313Q09JA,-0.0
ST313Q10JA,-0.0033807511678394073
ST263Q02JA,1.5819012958229524
ST263Q04JA,0.47141093254656985
ST263Q06JA,0.20601243600209831
ST263Q08JA,1.1210453820949953
ST016Q01NA,-5.203650440561398
ST059Q01TA,-1.5837491006779982
ST059Q02JA,9.641329799254477
ST296Q01JA,-2.1744652399266347
ST296Q02JA,3.299174397410562
ST296Q03JA,1.076400727307144
ST296Q04JA,-1.0952774403082672
ST272Q01JA,0.5016045959712407
ST273Q01JA,-0.0
ST273Q02JA,-0.0
ST273Q03JA,0.5339591557423217
ST273Q04JA,0.0
ST273Q05JA,0.2037858352860014
ST273Q06JA,-0.0
ST273Q07JA,0.16070731223997684
ST270Q01JA,1.2434815495783356
ST270Q02JA,-1.6009355532428566
ST270Q03JA,-0.14268825377170666
ST270Q04JA,0.1378779328559619
ST285Q01JA,0.12754845725901695
ST285Q02JA,-0.5737799572500105
ST285Q03JA,-0.22233584668425013
ST285Q04JA,-0.48199773718028793
ST285Q05JA,0.0
ST285Q06JA,-0.0
ST285Q07JA,0.031040205119892618
ST285Q08JA,-0.20698041384598403
ST285Q09JA,-0.42717660943400493
ST283Q01JA,0.30098913324111404
ST283Q02JA,1.2383704727075644
ST283Q03JA,0.0423704309173348
ST283Q04JA,0.3942874758873988
ST283Q05JA,0.12037566140422921
ST283Q06JA,0.5702903638651129
ST283Q07JA,0.40656128141977416
ST283Q08JA,0.7410216454212564
ST283Q09JA,0.31813747106335954
ST275Q01WA,0.46287365832585836
ST275Q02WA,0.19960651077053607
ST275Q03WA,-0.26269581956281385
ST275Q04WA,0.21564873872956808
ST275Q05WA,-1.290124661902196
ST275Q06WA,0.6091961221452854
ST275Q07WA,-1.319231526132842
ST275Q08WA,0.5029650635450913
ST275Q09WA,-1.1413626241709034
ST276Q01JA,0.19267554580879379
ST276Q02JA,0.3567590898377206
ST276Q03JA,0.7401720461072634
ST276Q04JA,0.426397928182434
ST276Q05JA,0.5517045972404776
ST276Q06JA,-0.019134289160752327
ST276Q07JA,0.3650000482134937
ST276Q08JA,1.2425895112747487
ST276Q09JA,0.7209160045076347
ST276Q10JA,0.6209405584189218
ST268Q01JA,-5.966355645535042
ST268Q02JA,4.535203514025016
ST268Q03JA,-2.3461208922335537
ST268Q04JA,-5.213623669552524
ST268Q05JA,3.4370789871711365
ST268Q06JA,1.2307678488057225
ST268Q07JA,-1.9208954627203747
ST268Q08JA,0.6114476038060169
ST268Q09JA,-0.8558470714181189
ST290Q01WA,-0.6919691125502887
ST290Q02WA,-0.9253702144140348
ST290Q03WA,-1.0526568236948997
ST290Q04WA,-0.0
ST290Q05WA,-0.7286387415155011
ST290Q06WA,-0.6232157766823034
ST290Q07WA,-0.5720603763086552
ST290Q08WA,0.0
ST290Q09WA,-0.7431890681472898
ST291Q01JA,-0.2162325795292252
ST291Q02JA,0.08882194651554773
ST291Q03JA,0.5468778886136845
ST291Q04JA,0.09068009522855114
ST291Q05JA,0.494140416888851
ST291Q06JA,0.06414590513116951
ST291Q07JA,0.06569177407150635
ST291Q08JA,0.9605459090974299
ST291Q09JA,0.6428915761768258
ST291Q10JA,0.45940902505742026
ST289Q01WA,-1.2421947671579974
ST289Q02JA,-1.9968613661708734
ST289Q03WA,-0.05564425735983442
ST289Q04JA,-1.5376194184752743
ST289Q05WA,-1.584823410437085
ST289Q06JA,-1.979302698031092
ST289Q07JA,-1.1343841683299527
